Pattern, Support-Frequence
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9780755176613886-803']]
[[[['Vuota_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_0'], ['Piena_T2_1']]], ['0.9780487804878049-401']]
[[[['Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.978-978']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9779605829364851-136359']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_2,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9779005524861878-708']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_2'], ['Vuota_T2_2']]], ['0.9778744458187983-70361']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.977794448612153-19551']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9777503090234858-1582']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3']]], ['0.977594643317023-56940']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9775845753489473-33058']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9774806147560013-42104']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9773519163763066-1683']]
[[[['Vuota_T0_0'], ['Vuota_T1_0,Piena_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9772727272727273-129']]
[[[['Piena_T0_0'], ['Vuota_T1_2,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9772706908395806-32720']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9772537910348276-117290']]
[[[['Vuota_T0_2,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['Piena_T1_3']]], ['0.9772386413762681-33231']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9770281650603537-20883']]
