Pattern, Support-Frequence
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9976963713518663-57602']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9976956924502084-86161']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9976952875986859-101730']]
[[[['Piena_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9976940158287309-35045']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9976931660491266-278959']]
[[[['Vuota_T0_2,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9976889552075846-219306']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9976718381181028-247258']]
[[[['Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9976697165964155-58226']]
[[[['Vuota_T0_3,Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9976553717681066-279558']]
[[[['Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9976482025879031-215497']]
[[[['Vuota_T0_1,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9976459094186885-214439']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9976424436805991-156149']]
[[[['Vuota_T0_3,Vuota_T0_1,Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3']]], ['0.9976413992807436-42721']]
[[[['Vuota_T0_3,Vuota_T0_1,Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3']]], ['0.9976369236234683-314522']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9976365510752567-221608']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9976252617866174-220552']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9976235200364298-280420']]
[[[['Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9976228944973722-53719']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9976207815933048-323285']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9976193664053086-305492']]
[[[['Vuota_T0_3,Vuota_T0_2,Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3']]], ['0.9976188413287881-333914']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9976173457231355-305651']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9976150317458612-92861']]
[[[['Vuota_T0_0,Piena_T0_2,Piena_T0_1'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9976113466747432-87288']]
[[[['Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9976081194647359-92592']]
[[[['Vuota_T0_3,Vuota_T0_0,Piena_T0_2,Piena_T0_1'], ['Vuota_T1_3']]], ['0.9976039705630669-87435']]
[[[['Vuota_T0_0'], ['Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9976016791181694-339838']]
[[[['Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.997600883703269-57799']]
[[[['Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9975943558331817-49348']]
